NODE_EXECUTION_FINISHED, task 1, sequence 2, node 3, job 11, at cycle: 1179980.000000
SEQUENCE_TERMINATED, task 1, sequence 2, before node 5, job 11, at cycle: 1179981.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 2, job 11, at cycle: 1179999.000000
SEQUENCE_TERMINATED, task 1, sequence 1, before node 5, job 11, at cycle: 1180000.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 4, job 11, at cycle: 1180019.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 5, job 11, at cycle: 1180026.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 6, job 11, at cycle: 1180048.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 5, job 11, at cycle: 1180098.000000
SEQUENCE_TERMINATED, task 1, sequence 3, before node 7, job 11, at cycle: 1180100.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 6, job 11, at cycle: 1180157.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 7, job 11, at cycle: 1180159.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 7, job 11, at cycle: 1180232.000000
NEW_JOB_RELEASED, task 2, job 8, at cycle: 1190355.000000
NODE_EXECUTION_STARTED, task 2, sequence 1, node 1, job 8, at cycle: 1190408.000000
NODE_EXECUTION_FINISHED, task 2, sequence 1, node 1, job 8, at cycle: 1190480.000000
NODE_EXECUTION_STARTED, task 2, sequence 1, node 2, job 8, at cycle: 1190491.000000
NODE_EXECUTION_STARTED, task 2, sequence 2, node 3, job 8, at cycle: 1190506.000000
NODE_EXECUTION_STARTED, task 2, sequence 3, node 4, job 8, at cycle: 1190512.000000
NODE_EXECUTION_FINISHED, task 2, sequence 1, node 2, job 8, at cycle: 1190563.000000
SEQUENCE_TERMINATED, task 2, sequence 1, before node 5, job 8, at cycle: 1190565.000000
NODE_EXECUTION_FINISHED, task 2, sequence 2, node 3, job 8, at cycle: 1190579.000000
SEQUENCE_TERMINATED, task 2, sequence 2, before node 5, job 8, at cycle: 1190580.000000
NODE_EXECUTION_FINISHED, task 2, sequence 3, node 4, job 8, at cycle: 1190584.000000
NODE_EXECUTION_STARTED, task 2, sequence 3, node 5, job 8, at cycle: 1190586.000000
NODE_EXECUTION_FINISHED, task 2, sequence 3, node 5, job 8, at cycle: 1190657.000000
NEW_JOB_RELEASED, task 1, job 12, at cycle: 1229874.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 1, job 12, at cycle: 1229970.000000
